Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
0,0.00,3,0.00,0.00,33.44,0.4780,medio,No
2,0.07,3,0.00,0.00,33.46,0.4780,medio,No
4,0.13,1,0.00,0.00,0.00,0.4000,medio,No
6,0.20,2,6.00,0.00,33.93,0.5290,medio,No
8,0.27,2,6.00,11.95,33.80,0.3520,medio,No
10,0.33,3,6.00,17.64,33.78,0.3210,medio,No
12,0.40,3,12.00,10.07,33.32,0.4390,medio,No
14,0.47,3,12.00,18.91,33.05,0.3770,medio,No
16,0.53,2,18.00,14.67,33.10,0.4710,medio,No
18,0.60,3,18.00,10.08,33.24,0.5160,medio,No
20,0.67,3,18.00,8.32,33.30,0.5400,medio,No
22,0.73,2,18.00,7.42,33.37,0.5560,medio,No
24,0.80,3,18.00,6.98,33.72,0.5660,medio,No
26,0.87,3,12.00,6.17,33.44,0.4900,medio,No
28,0.93,3,18.00,6.44,33.51,0.5770,medio,No
30,1.00,3,24.00,5.23,32.71,0.6550,alto,No
32,1.07,2,24.00,5.55,33.06,0.6540,alto,No
34,1.13,3,24.00,4.90,32.82,0.6560,alto,No
36,1.20,2,24.00,5.58,32.44,0.6520,alto,No
38,1.27,3,24.00,5.98,32.67,0.6510,alto,No
40,1.33,2,24.00,6.07,33.00,0.6520,alto,No
42,1.40,2,24.00,5.94,33.20,0.6530,alto,No
44,1.47,2,24.00,5.78,32.81,0.6520,alto,No
46,1.53,2,24.00,6.12,33.19,0.6520,alto,No
48,1.60,3,24.00,4.18,33.20,0.6600,alto,No
50,1.67,2,18.00,3.91,32.82,0.6100,alto,No
52,1.73,2,18.00,3.71,33.36,0.6120,alto,No
54,1.80,2,24.00,4.20,33.28,0.6600,alto,No
56,1.87,3,24.00,4.72,32.74,0.6570,alto,No
58,1.93,2,24.00,5.61,33.71,0.6550,alto,No
60,2.00,2,24.00,6.52,33.84,0.6520,alto,No
62,2.07,3,24.00,5.96,33.14,0.6530,alto,No
64,2.13,3,24.00,6.84,33.62,0.6500,alto,No
66,2.20,3,24.00,5.44,33.47,0.6550,alto,No
68,2.27,2,24.00,5.00,33.51,0.6570,alto,No
70,2.33,2,24.00,4.47,33.38,0.6590,alto,No
72,2.40,2,12.00,3.89,33.34,0.5500,medio,No
74,2.47,3,18.00,5.22,33.64,0.6070,alto,No
76,2.53,2,24.00,6.22,33.00,0.6510,alto,No
78,2.60,3,24.00,6.35,33.38,0.6510,alto,No
80,2.67,2,24.00,5.59,33.24,0.6540,alto,No
82,2.73,2,24.00,5.11,33.49,0.6570,alto,No
84,2.80,3,24.00,4.12,33.50,0.6610,alto,No
86,2.87,3,12.00,3.44,33.46,0.5640,medio,No
88,2.93,2,6.00,3.11,33.05,0.4510,medio,No
90,3.00,2,6.00,2.26,33.58,0.4880,medio,No
92,3.07,2,18.00,4.08,33.24,0.6110,alto,No
94,3.13,2,18.00,5.79,33.20,0.5930,medio,No
96,3.20,2,18.00,5.15,34.09,0.6080,alto,No
98,3.27,3,18.00,7.48,33.97,0.5560,medio,No
100,3.33,2,18.00,6.60,33.38,0.5730,medio,No
102,3.40,3,18.00,2.58,33.53,0.6170,alto,No
104,3.47,3,12.00,2.70,33.86,0.5680,medio,No
106,3.53,3,18.00,3.91,33.90,0.6130,alto,No
108,3.60,4,18.00,3.39,33.86,0.6150,alto,No
110,3.67,4,18.00,6.34,33.22,0.5790,medio,No
112,3.73,4,18.00,7.67,33.59,0.5520,medio,No
114,3.80,4,24.00,6.42,33.17,0.6510,alto,No
116,3.87,4,24.00,9.48,32.90,0.6010,alto,No
118,3.93,4,24.00,10.03,34.31,0.5960,medio,No
120,4.00,5,24.00,9.84,34.38,0.5990,medio,No
122,4.07,3,18.00,8.15,34.00,0.5450,medio,No
124,4.13,3,24.00,8.55,34.43,0.6210,alto,No
126,4.20,4,24.00,8.57,34.42,0.6210,alto,No
128,4.27,4,24.00,12.05,34.70,0.5700,medio,No
130,4.33,3,24.00,13.10,34.64,0.5590,medio,No
132,4.40,3,24.00,12.54,34.33,0.5640,medio,No
134,4.47,3,24.00,10.72,34.14,0.5860,medio,No
136,4.53,4,24.00,8.08,34.75,0.6310,alto,No
138,4.60,3,24.00,6.63,34.70,0.6530,alto,No
140,4.67,3,24.00,6.61,34.74,0.6540,alto,No
142,4.73,2,24.00,6.49,34.59,0.6540,alto,No
144,4.80,2,24.00,6.91,34.55,0.6520,alto,No
146,4.87,3,18.00,4.06,34.61,0.6140,alto,No
148,4.93,4,0.00,1.05,34.43,0.3260,medio,No
150,5.00,3,12.00,2.25,34.35,0.5710,medio,No
152,5.07,4,24.00,6.78,34.63,0.6530,alto,No
154,5.13,3,24.00,9.46,34.13,0.6040,alto,No
156,5.20,3,24.00,12.04,33.68,0.5680,medio,No
158,5.27,3,24.00,13.99,33.81,0.5480,medio,No
160,5.33,4,24.00,17.65,32.99,0.5150,medio,No
162,5.40,3,24.00,18.97,32.43,0.5040,medio,No
164,5.47,3,24.00,18.56,32.30,0.5060,medio,No
166,5.53,3,24.00,19.04,31.45,0.5010,medio,No
168,5.60,3,24.00,23.95,31.23,0.4680,medio,No
170,5.67,3,24.00,24.48,30.86,0.4640,medio,No
172,5.73,2,24.00,24.85,31.68,0.4640,medio,No
174,5.80,3,24.00,24.23,31.61,0.4670,medio,No
176,5.87,2,24.00,25.31,31.37,0.4600,medio,No
178,5.93,0,24.00,25.68,0.00,0.3850,medio,No
180,6.00,1,24.00,22.08,0.00,0.4070,medio,No
182,6.07,0,24.00,19.66,0.00,0.4230,medio,No
184,6.13,1,24.00,23.89,0.00,0.3960,medio,No
186,6.20,3,24.00,26.00,32.01,0.4580,medio,No
188,6.27,2,24.00,25.93,32.35,0.4590,medio,No
190,6.33,2,24.00,23.09,0.01,0.4010,medio,No
192,6.40,2,24.00,20.44,31.37,0.4910,medio,No
194,6.47,2,24.00,20.00,31.30,0.4940,medio,No
196,6.53,1,24.00,19.85,0.00,0.4220,medio,No
198,6.60,2,24.00,18.57,31.84,0.5050,medio,No
200,6.67,2,24.00,19.91,31.57,0.4950,medio,No
202,6.73,2,24.00,15.82,31.31,0.5250,medio,No
204,6.80,2,30.00,15.70,31.50,0.5940,medio,No
206,6.87,2,30.00,14.80,31.75,0.6040,alto,No
208,6.93,4,30.00,12.45,31.64,0.6300,alto,No
210,7.00,3,30.00,13.04,31.21,0.6220,alto,No
212,7.07,3,30.00,14.11,31.22,0.6100,alto,No
214,7.13,2,24.00,17.64,31.24,0.5110,medio,No
216,7.20,2,24.00,18.18,31.42,0.5070,medio,No
218,7.27,4,24.00,19.04,30.83,0.4990,medio,No
220,7.33,2,24.00,18.95,31.01,0.5000,medio,No
222,7.40,3,24.00,19.57,31.41,0.4970,medio,No
224,7.47,3,24.00,20.29,31.07,0.4910,medio,No
226,7.53,3,24.00,14.37,30.92,0.5370,medio,No
228,7.60,3,24.00,13.18,31.07,0.5490,medio,No
230,7.67,3,24.00,11.92,31.23,0.5640,medio,No
232,7.73,4,24.00,11.61,31.17,0.5670,medio,No
234,7.80,2,18.00,10.74,31.23,0.5040,medio,No
236,7.86,3,24.00,10.90,31.21,0.5770,medio,No
238,7.93,3,18.00,11.01,31.34,0.5010,medio,No
240,8.00,3,6.00,9.84,31.40,0.3600,medio,No
242,8.06,3,18.00,10.99,31.72,0.5020,medio,No
244,8.13,3,18.00,10.84,31.41,0.5030,medio,No
246,8.20,3,18.00,10.85,31.34,0.5030,medio,No
248,8.26,2,18.00,10.58,31.47,0.5060,medio,No
250,8.33,2,12.00,2.70,31.52,0.5620,medio,No
252,8.40,2,12.00,2.29,31.54,0.5640,medio,No
254,8.46,2,12.00,2.23,31.89,0.5650,medio,No
256,8.53,3,0.00,0.73,31.28,0.3200,medio,No
258,8.60,2,0.00,0.68,31.41,0.3200,medio,No
260,8.66,3,12.00,1.93,31.13,0.5650,medio,No
262,8.73,3,6.00,1.36,31.38,0.5180,medio,No
264,8.80,2,0.00,1.44,31.19,0.3170,medio,No
266,8.86,2,6.00,1.49,31.39,0.5170,medio,No
268,8.93,3,0.00,1.13,31.40,0.3190,medio,No
270,9.00,2,0.00,1.09,31.39,0.3190,medio,No
272,9.06,3,0.00,0.91,31.57,0.3200,medio,No
274,9.13,2,6.00,1.79,31.50,0.5160,medio,No
276,9.20,2,6.00,1.90,31.45,0.5070,medio,No
278,9.26,4,18.00,3.05,31.58,0.6110,alto,No
280,9.33,4,12.00,1.91,31.52,0.5660,medio,No
282,9.40,3,12.00,2.42,31.81,0.5640,medio,No
284,9.46,3,12.00,2.08,31.44,0.5650,medio,No
286,9.53,3,12.00,2.38,31.88,0.5640,medio,No
288,9.60,3,18.00,3.68,32.01,0.6090,alto,No
290,9.66,4,18.00,3.14,31.67,0.6110,alto,No
292,9.73,3,18.00,3.06,31.74,0.6110,alto,No
294,9.80,3,18.00,2.86,31.88,0.6120,alto,No
296,9.86,3,12.00,2.11,31.61,0.5650,medio,No
298,9.93,2,0.00,1.35,31.68,0.3180,medio,No
300,10.00,2,6.00,1.65,31.46,0.5170,medio,No
302,10.06,3,12.00,2.15,31.37,0.5640,medio,No
304,10.13,3,12.00,3.10,31.22,0.5600,medio,No
306,10.20,3,0.00,1.37,32.53,0.3200,medio,No
308,10.26,3,12.00,2.33,32.19,0.5650,medio,No
310,10.33,4,18.00,2.81,31.98,0.6130,alto,No
312,10.40,4,12.00,2.36,31.94,0.5650,medio,No
314,10.46,4,18.00,3.03,31.90,0.6120,alto,No
316,10.53,4,24.00,3.70,32.08,0.6590,alto,No
318,10.60,4,24.00,4.51,31.90,0.6560,alto,No
320,10.66,3,24.00,5.37,32.03,0.6520,alto,No
322,10.73,3,24.00,6.57,32.29,0.6480,alto,No
324,10.80,4,18.00,4.55,32.40,0.6070,alto,No
326,10.86,2,18.00,3.55,32.10,0.6100,alto,No
328,10.93,4,18.00,4.68,32.57,0.6060,alto,No
330,11.00,3,24.00,5.71,32.68,0.6520,alto,No
332,11.06,3,24.00,6.23,32.88,0.6510,alto,No
334,11.13,4,24.00,5.63,32.75,0.6530,alto,No
336,11.20,3,18.00,4.45,32.35,0.6070,alto,No
338,11.26,4,18.00,2.53,32.28,0.6150,alto,No
340,11.33,3,12.00,2.05,32.66,0.5680,medio,No
342,11.40,3,0.00,0.95,32.33,0.3210,medio,No
344,11.46,3,12.00,2.19,32.01,0.5660,medio,No
346,11.53,4,24.00,6.21,31.51,0.6480,alto,No
348,11.60,3,24.00,7.95,31.43,0.6260,alto,No
350,11.66,3,24.00,8.59,31.57,0.6140,alto,No
352,11.73,4,24.00,9.59,31.49,0.5960,medio,No
354,11.80,3,24.00,7.90,31.76,0.6280,alto,No
356,11.86,3,24.00,5.02,32.25,0.6540,alto,No
358,11.93,3,24.00,5.74,32.19,0.6510,alto,No
360,12.00,4,24.00,4.12,32.16,0.6580,alto,No
362,12.06,3,24.00,3.45,31.49,0.6590,alto,No
364,12.13,3,12.00,1.64,31.29,0.5660,medio,No
366,12.20,3,6.00,1.00,31.53,0.5190,medio,No
368,12.26,3,6.00,1.64,31.65,0.5170,medio,No
370,12.33,3,18.00,2.33,31.48,0.6140,alto,No
372,12.40,3,18.00,2.42,31.55,0.6140,alto,No
374,12.46,3,6.00,1.81,32.17,0.5170,medio,No
376,12.53,4,6.00,1.88,32.01,0.5100,medio,No
378,12.60,4,0.00,0.51,32.18,0.3230,medio,No
380,12.66,3,12.00,2.08,32.05,0.5660,medio,No
382,12.73,3,18.00,3.74,31.71,0.6080,alto,No
384,12.80,3,18.00,3.42,32.02,0.6100,alto,No
386,12.86,3,18.00,3.53,32.02,0.6100,alto,No
388,12.93,2,18.00,3.25,31.69,0.6100,alto,No
390,13.00,3,18.00,3.83,32.03,0.6090,alto,No
392,13.06,5,24.00,3.56,31.84,0.6590,alto,No
394,13.13,4,24.00,4.70,31.48,0.6540,alto,No
396,13.20,4,24.00,3.78,31.49,0.6580,alto,No
398,13.26,3,18.00,2.80,31.80,0.6130,alto,No
400,13.33,3,24.00,3.63,31.31,0.6580,alto,No
402,13.40,3,24.00,4.56,31.32,0.6540,alto,No
404,13.46,3,24.00,5.57,31.61,0.6510,alto,No
406,13.53,4,24.00,5.92,31.54,0.6490,alto,No
408,13.60,2,24.00,6.77,31.49,0.6450,alto,No
410,13.66,3,24.00,7.18,31.47,0.6440,alto,No
412,13.73,4,24.00,6.85,31.22,0.6440,alto,No
414,13.80,4,24.00,5.49,31.14,0.6500,alto,No
416,13.86,4,24.00,5.10,31.28,0.6520,alto,No
418,13.93,3,24.00,3.02,31.66,0.6610,alto,No
420,14.00,3,12.00,1.85,31.43,0.5660,medio,No
422,14.06,3,18.00,2.17,31.59,0.6150,alto,No
424,14.13,4,24.00,3.07,31.43,0.6610,alto,No
426,14.20,3,24.00,3.35,31.73,0.6600,alto,No
428,14.26,2,24.00,3.96,31.88,0.6580,alto,No
430,14.33,3,24.00,4.15,31.49,0.6560,alto,No
432,14.40,3,24.00,3.70,31.40,0.6580,alto,No
434,14.46,3,24.00,3.07,31.41,0.6600,alto,No
436,14.53,3,18.00,2.46,31.46,0.6130,alto,No
438,14.60,3,18.00,2.45,31.83,0.6140,alto,No
440,14.66,3,12.00,2.94,32.10,0.5630,medio,No
442,14.73,4,24.00,4.64,32.37,0.6560,alto,No
444,14.80,4,24.00,2.92,32.02,0.6630,alto,No
446,14.86,3,0.00,1.86,31.23,0.3150,medio,No
448,14.93,3,18.00,2.30,31.29,0.6130,alto,No
450,15.00,4,12.00,1.85,31.87,0.5670,medio,No
452,15.06,4,24.00,4.23,32.37,0.6580,alto,No
454,15.13,3,24.00,5.85,32.48,0.6510,alto,No
456,15.20,4,24.00,5.15,32.34,0.6540,alto,No
458,15.26,3,24.00,3.75,32.02,0.6590,alto,No
460,15.33,3,0.00,1.25,32.03,0.3200,medio,No
