Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
0,0.00,23,0.00,0.00,24.19,0.4560,medio,No
1,0.03,23,0.00,0.00,24.12,0.4560,medio,No
2,0.07,23,0.00,0.00,24.07,0.4560,medio,No
3,0.10,23,84.00,0.00,23.99,0.7060,alto,No
4,0.13,24,84.00,3.76,23.97,0.6900,alto,No
5,0.17,27,72.00,3.66,24.77,0.6930,alto,No
6,0.20,29,78.00,3.54,24.77,0.6930,alto,No
7,0.23,26,72.00,3.48,23.84,0.6910,alto,No
8,0.27,28,72.00,3.47,23.81,0.6910,alto,No
9,0.30,28,78.00,3.35,24.76,0.6940,alto,No
10,0.33,28,78.00,3.48,24.74,0.6930,alto,No
11,0.37,27,84.00,3.50,24.72,0.6930,alto,No
12,0.40,26,84.00,3.38,23.70,0.6910,alto,No
13,0.43,28,84.00,3.35,24.70,0.6940,alto,No
14,0.47,28,84.00,3.45,24.69,0.6930,alto,No
15,0.50,29,84.00,3.53,24.67,0.6930,alto,No
16,0.53,29,84.00,3.60,23.47,0.6900,alto,No
17,0.57,29,84.00,3.64,24.64,0.6920,alto,No
18,0.60,26,90.00,3.69,22.47,0.6870,alto,No
19,0.63,27,90.00,3.85,23.30,0.6880,alto,No
20,0.67,26,90.00,3.77,23.25,0.6890,alto,No
21,0.70,24,96.00,3.77,23.23,0.6890,alto,No
22,0.73,26,96.00,3.90,23.19,0.6880,alto,No
23,0.77,28,96.00,3.82,23.17,0.6880,alto,No
24,0.80,27,90.00,3.76,24.78,0.6920,alto,No
25,0.83,28,90.00,3.80,23.05,0.6880,alto,No
26,0.87,27,90.00,3.88,23.00,0.6880,alto,No
27,0.90,28,90.00,3.95,22.96,0.6870,alto,No
28,0.93,26,96.00,3.96,22.90,0.6870,alto,No
29,0.97,28,96.00,4.48,22.83,0.6850,alto,No
30,1.00,28,102.00,4.60,22.82,0.6840,alto,No
31,1.03,27,102.00,4.59,22.78,0.6840,alto,No
32,1.07,27,102.00,4.65,23.11,0.6850,alto,No
33,1.10,27,102.00,4.72,23.06,0.6840,alto,No
34,1.13,26,102.00,4.71,23.01,0.6840,alto,No
35,1.17,25,102.00,4.63,22.61,0.6830,alto,No
36,1.20,25,102.00,4.47,22.60,0.6840,alto,No
37,1.23,27,102.00,4.60,22.87,0.6840,alto,No
38,1.27,26,102.00,4.57,22.54,0.6840,alto,No
39,1.30,28,102.00,4.80,22.49,0.6820,alto,No
40,1.33,27,102.00,4.82,22.49,0.6820,alto,No
41,1.37,26,102.00,4.83,22.44,0.6820,alto,No
42,1.40,27,102.00,4.77,22.41,0.6820,alto,No
43,1.43,27,102.00,4.79,22.39,0.6820,alto,No
44,1.47,27,102.00,4.92,22.35,0.6820,alto,No
45,1.50,26,108.00,5.01,22.30,0.6810,alto,No
46,1.53,28,102.00,4.87,22.26,0.6820,alto,No
47,1.57,28,108.00,4.99,22.38,0.6810,alto,No
48,1.60,28,108.00,5.07,22.30,0.6810,alto,No
49,1.63,28,108.00,5.11,22.24,0.6810,alto,No
50,1.67,27,114.00,5.18,21.29,0.6780,alto,No
51,1.70,29,114.00,5.83,21.20,0.6750,alto,No
52,1.74,28,114.00,5.87,20.04,0.6720,alto,No
53,1.77,27,114.00,5.92,20.03,0.6720,alto,No
54,1.80,26,114.00,5.94,20.03,0.6720,alto,No
55,1.84,29,114.00,6.21,21.93,0.6750,alto,No
56,1.87,30,108.00,6.24,21.87,0.6750,alto,No
57,1.90,30,108.00,6.22,20.84,0.6730,alto,No
58,1.94,27,108.00,6.23,20.77,0.6730,alto,No
59,1.97,28,114.00,6.20,23.73,0.6800,alto,No
60,2.00,30,108.00,6.25,23.69,0.6790,alto,No
61,2.04,30,108.00,6.32,21.56,0.6740,alto,No
62,2.07,30,102.00,5.99,21.52,0.6750,alto,No
63,2.10,28,108.00,6.06,21.48,0.6750,alto,No
64,2.14,28,108.00,6.02,21.44,0.6750,alto,No
65,2.17,29,108.00,6.13,21.39,0.6740,alto,No
66,2.20,28,108.00,6.26,21.37,0.6740,alto,No
67,2.24,29,108.00,6.31,21.35,0.6740,alto,No
68,2.27,29,108.00,6.49,21.27,0.6730,alto,No
69,2.30,29,114.00,6.52,21.24,0.6720,alto,No
70,2.34,29,120.00,6.54,21.22,0.6720,alto,No
71,2.37,28,120.00,6.73,20.22,0.6690,alto,No
72,2.40,30,120.00,6.71,21.15,0.6710,alto,No
73,2.44,30,120.00,6.47,21.10,0.6720,alto,No
74,2.47,28,102.00,5.89,21.04,0.6750,alto,No
75,2.50,28,102.00,5.93,20.95,0.6740,alto,No
76,2.54,28,108.00,5.94,20.89,0.6740,alto,No
77,2.57,28,108.00,6.16,20.83,0.6730,alto,No
78,2.60,28,114.00,6.26,20.80,0.6720,alto,No
79,2.64,28,114.00,6.32,20.78,0.6720,alto,No
80,2.67,29,114.00,6.40,20.74,0.6720,alto,No
81,2.70,28,114.00,6.39,20.70,0.6720,alto,No
82,2.74,29,120.00,6.40,20.65,0.6720,alto,No
83,2.77,30,120.00,6.47,20.51,0.6710,alto,No
84,2.80,30,114.00,6.44,20.48,0.6710,alto,No
85,2.84,30,114.00,6.50,20.39,0.6710,alto,No
86,2.87,28,114.00,6.41,20.37,0.6710,alto,No
87,2.90,28,120.00,6.24,20.31,0.6710,alto,No
88,2.94,26,120.00,6.15,20.26,0.6720,alto,No
89,2.97,27,114.00,6.08,20.30,0.6720,alto,No
90,3.00,26,114.00,6.22,20.21,0.6710,alto,No
91,3.04,27,114.00,6.45,20.15,0.6700,alto,No
92,3.07,27,120.00,6.53,20.12,0.6700,alto,No
93,3.10,27,114.00,6.69,20.05,0.6690,alto,No
94,3.14,25,120.00,6.68,20.02,0.6690,alto,No
95,3.17,26,120.00,6.67,19.97,0.6690,alto,No
96,3.20,25,120.00,6.67,19.55,0.6680,alto,No
97,3.24,24,120.00,6.74,19.50,0.6670,alto,No
98,3.27,25,120.00,6.76,19.89,0.6680,alto,No
99,3.30,25,120.00,6.77,19.50,0.6670,alto,No
100,3.34,28,126.00,6.66,19.50,0.6680,alto,No
101,3.37,24,126.00,6.77,19.50,0.6670,alto,No
102,3.40,22,120.00,6.77,19.49,0.6670,alto,No
103,3.44,26,120.00,6.86,19.89,0.6680,alto,No
104,3.47,28,114.00,6.94,19.89,0.6670,alto,No
105,3.50,27,108.00,7.11,19.89,0.6670,alto,No
106,3.54,28,114.00,7.21,19.89,0.6660,alto,No
107,3.57,26,108.00,7.15,19.90,0.6670,alto,No
108,3.60,24,108.00,6.83,19.90,0.6680,alto,No
109,3.64,24,120.00,7.03,19.91,0.6670,alto,No
110,3.67,24,120.00,7.03,19.91,0.6670,alto,No
111,3.70,26,120.00,7.09,19.93,0.6670,alto,No
112,3.74,27,114.00,7.35,25.04,0.6780,alto,No
113,3.77,27,108.00,7.49,19.94,0.6650,alto,No
114,3.80,27,114.00,7.44,19.94,0.6660,alto,No
115,3.84,27,114.00,7.87,22.83,0.6700,alto,No
116,3.87,28,108.00,7.54,25.37,0.6780,alto,No
117,3.90,29,108.00,7.83,25.34,0.6760,alto,No
118,3.94,29,114.00,7.99,25.30,0.6760,alto,No
119,3.97,29,126.00,8.01,24.89,0.6750,alto,No
120,4.00,27,114.00,7.79,24.90,0.6760,alto,No
121,4.04,27,120.00,7.46,19.93,0.6650,alto,No
122,4.07,25,120.00,8.83,19.94,0.6600,alto,No
123,4.10,28,120.00,8.67,25.01,0.6720,alto,No
124,4.14,28,120.00,8.51,24.95,0.6730,alto,No
125,4.17,29,120.00,8.58,24.91,0.6720,alto,No
126,4.20,26,120.00,8.58,19.93,0.6610,alto,No
127,4.24,27,132.00,8.57,24.78,0.6720,alto,No
128,4.27,29,138.00,9.02,24.72,0.6700,alto,No
129,4.30,30,132.00,9.22,24.70,0.6690,alto,No
130,4.34,30,132.00,9.23,24.69,0.6690,alto,No
131,4.37,29,126.00,9.42,22.14,0.6620,alto,No
132,4.40,29,120.00,9.05,24.54,0.6700,alto,No
133,4.44,28,120.00,9.01,24.47,0.6700,alto,No
134,4.47,28,120.00,9.09,24.45,0.6690,alto,No
