Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
0,0.00,0,0.00,0.00,0.00,0.4000,medio,No
1,0.04,0,0.00,0.00,0.00,0.4000,medio,No
2,0.08,0,0.00,0.00,0.00,0.4000,medio,No
3,0.13,0,0.00,0.00,0.00,0.4000,medio,No
4,0.17,0,0.00,0.00,0.00,0.4000,medio,No
5,0.21,0,0.00,0.00,0.00,0.4000,medio,No
6,0.25,0,0.00,0.00,0.00,0.4000,medio,No
7,0.29,0,0.00,0.00,0.00,0.4000,medio,No
8,0.33,0,0.00,0.00,0.00,0.4000,medio,No
9,0.38,0,0.00,0.00,0.00,0.4000,medio,No
10,0.42,0,0.00,0.00,0.00,0.4000,medio,No
11,0.46,0,0.00,0.00,0.00,0.4000,medio,No
12,0.50,0,0.00,0.00,0.00,0.4000,medio,No
13,0.54,0,0.00,0.00,0.00,0.4000,medio,No
14,0.58,0,0.00,0.00,0.00,0.4000,medio,No
15,0.63,0,0.00,0.00,0.00,0.4000,medio,No
16,0.67,0,0.00,0.00,0.00,0.4000,medio,No
17,0.71,0,0.00,0.00,0.00,0.4000,medio,No
18,0.75,1,0.00,0.00,0.00,0.4000,medio,No
19,0.79,1,0.00,0.00,0.00,0.4000,medio,No
20,0.83,0,0.00,0.00,0.00,0.4000,medio,No
21,0.88,0,0.00,0.00,0.00,0.4000,medio,No
22,0.92,0,0.00,0.00,0.00,0.4000,medio,No
23,0.96,0,0.00,0.00,0.00,0.4000,medio,No
24,1.00,2,0.00,0.00,8.22,0.4190,medio,No
25,1.04,3,0.00,0.00,8.04,0.4190,medio,No
26,1.08,4,0.00,0.00,7.76,0.4180,medio,No
27,1.13,4,12.00,0.00,7.43,0.5170,medio,No
28,1.17,5,18.00,39.78,21.83,0.3060,medio,No
29,1.21,5,24.00,41.79,21.65,0.3520,medio,No
30,1.25,4,30.00,60.34,21.45,0.3220,medio,No
31,1.29,3,36.00,60.73,20.94,0.3260,medio,No
32,1.33,3,36.00,55.33,20.81,0.3470,medio,No
33,1.38,4,36.00,54.95,20.55,0.3480,medio,No
34,1.42,5,36.00,57.19,20.88,0.3390,medio,No
35,1.46,6,36.00,56.66,20.76,0.3410,medio,No
36,1.50,5,42.00,56.12,19.75,0.3460,medio,No
37,1.54,8,42.00,58.16,20.97,0.3390,medio,No
38,1.58,5,42.00,58.36,18.63,0.3330,medio,No
39,1.63,7,42.00,57.28,19.84,0.3410,medio,No
40,1.67,6,54.00,58.10,19.34,0.3450,medio,No
41,1.71,7,60.00,80.11,19.20,0.3290,medio,No
42,1.75,6,60.00,87.00,19.11,0.3260,medio,No
43,1.79,5,60.00,85.96,16.86,0.3210,medio,No
44,1.83,6,66.00,85.89,16.76,0.3240,medio,No
45,1.88,7,72.00,87.34,16.58,0.3260,medio,No
46,1.92,6,72.00,86.17,16.54,0.3260,medio,No
47,1.96,5,78.00,85.07,16.83,0.3310,medio,No
48,2.00,6,78.00,84.22,16.67,0.3310,medio,No
49,2.04,6,78.00,83.34,16.57,0.3310,medio,No
50,2.09,6,78.00,82.55,16.53,0.3310,medio,No
51,2.13,5,84.00,80.90,16.75,0.3360,medio,No
52,2.17,6,84.00,76.73,16.84,0.3390,medio,No
53,2.21,8,84.00,75.17,20.24,0.3480,medio,No
54,2.25,7,84.00,73.43,20.18,0.3490,medio,No
55,2.29,8,90.00,72.87,20.07,0.3520,medio,No
56,2.34,9,96.00,70.06,20.00,0.3580,medio,No
57,2.38,8,90.00,72.07,18.78,0.3500,medio,No
58,2.42,8,96.00,74.79,18.64,0.3510,medio,No
59,2.46,10,96.00,68.39,18.69,0.3570,medio,No
60,2.50,8,96.00,68.45,18.80,0.3570,medio,No
61,2.54,7,96.00,69.50,18.84,0.3560,medio,No
62,2.59,6,102.00,75.45,19.25,0.3560,medio,No
63,2.63,7,102.00,75.51,19.28,0.3560,medio,No
64,2.67,5,102.00,75.76,19.03,0.3550,medio,No
65,2.71,5,96.00,76.81,18.89,0.3500,medio,No
66,2.75,3,96.00,76.66,5.91,0.3200,medio,No
67,2.79,2,90.00,79.01,1.06,0.3040,medio,No
68,2.84,2,90.00,79.18,0.73,0.3030,medio,No
69,2.88,3,90.00,79.40,0.26,0.3020,medio,No
70,2.92,2,90.00,80.15,0.02,0.3010,medio,No
71,2.96,4,90.00,80.61,0.24,0.3010,medio,No
72,3.00,2,84.00,80.86,0.38,0.2980,bajo,No
73,3.04,4,78.00,79.07,4.19,0.3040,medio,No
74,3.09,5,84.00,79.63,5.69,0.3110,medio,No
75,3.13,5,84.00,85.13,6.16,0.3090,medio,No
76,3.17,4,84.00,85.65,7.05,0.3110,medio,No
77,3.21,4,84.00,85.78,7.79,0.3120,medio,No
78,3.25,2,84.00,87.08,8.44,0.3130,medio,No
79,3.29,4,78.00,87.12,9.26,0.3120,medio,No
80,3.34,3,78.00,86.19,9.82,0.3140,medio,No
81,3.38,3,78.00,85.96,10.22,0.3150,medio,No
82,3.42,3,78.00,85.55,10.50,0.3160,medio,No
83,3.46,3,78.00,85.20,10.88,0.3170,medio,No
84,3.50,3,78.00,84.33,11.49,0.3180,medio,No
85,3.54,3,72.00,88.21,12.36,0.3160,medio,No
86,3.59,3,72.00,88.77,12.86,0.3170,medio,No
87,3.63,4,66.00,87.25,13.16,0.3150,medio,No
88,3.67,4,66.00,89.85,12.90,0.3130,medio,No
89,3.71,3,60.00,95.56,12.88,0.3080,medio,No
90,3.75,3,60.00,100.13,13.68,0.3090,medio,No
91,3.79,2,60.00,94.95,13.91,0.3110,medio,No
92,3.84,4,60.00,95.94,14.70,0.3120,medio,No
93,3.88,2,60.00,95.70,8.28,0.2980,bajo,No
94,3.92,2,48.00,96.69,8.36,0.2920,bajo,No
95,3.96,2,48.00,89.77,8.29,0.2930,bajo,No
96,4.00,1,42.00,72.76,0.00,0.2760,bajo,No
97,4.05,3,42.00,71.43,7.51,0.2940,bajo,No
98,4.09,1,42.00,70.77,0.00,0.2770,bajo,No
99,4.13,2,42.00,69.26,0.02,0.2770,bajo,No
100,4.17,2,42.00,67.88,0.03,0.2780,bajo,No
101,4.21,2,42.00,64.80,0.01,0.2790,bajo,No
102,4.25,2,30.00,57.89,0.05,0.2820,bajo,No
103,4.30,2,36.00,57.47,0.04,0.2890,bajo,No
104,4.34,2,36.00,57.08,0.07,0.2910,bajo,No
105,4.38,2,36.00,56.95,0.03,0.2910,bajo,No
106,4.42,1,36.00,57.19,0.00,0.2900,bajo,No
107,4.46,1,36.00,59.49,0.00,0.2790,bajo,No
108,4.50,1,36.00,60.01,0.00,0.2770,bajo,No
109,4.55,1,36.00,60.62,0.00,0.2770,bajo,No
110,4.59,2,30.00,52.69,0.09,0.3060,medio,No
111,4.63,2,30.00,54.41,0.10,0.2980,bajo,No
112,4.67,3,30.00,55.31,7.47,0.3110,medio,No
113,4.71,3,30.00,56.12,7.97,0.3090,medio,No
114,4.75,2,30.00,56.27,8.28,0.3090,medio,No
115,4.80,3,36.00,55.46,8.72,0.3180,medio,No
116,4.84,2,36.00,63.41,9.23,0.2970,bajo,No
117,4.88,2,36.00,61.26,9.60,0.2990,bajo,No
118,4.92,3,36.00,58.82,9.50,0.3050,medio,No
119,4.96,3,42.00,53.62,9.82,0.3350,medio,No
120,5.00,3,42.00,62.33,9.83,0.3030,medio,No
121,5.05,3,36.00,72.34,9.94,0.2960,bajo,No
122,5.09,3,36.00,76.89,9.77,0.2940,bajo,No
123,5.13,3,30.00,68.88,9.79,0.2920,bajo,No
124,5.17,3,30.00,68.03,10.04,0.2930,bajo,No
125,5.21,3,30.00,68.19,10.28,0.2940,bajo,No
126,5.25,3,24.00,78.95,10.51,0.2380,bajo,No
127,5.30,3,24.00,75.25,10.89,0.2400,bajo,No
128,5.34,3,24.00,73.29,11.04,0.2400,bajo,No
129,5.38,3,24.00,70.36,11.35,0.2420,bajo,No
130,5.42,1,24.00,67.82,0.00,0.2160,bajo,No
131,5.46,2,24.00,64.62,0.05,0.2170,bajo,No
132,5.50,2,24.00,66.60,0.10,0.2160,bajo,No
133,5.55,3,24.00,68.71,12.64,0.2450,bajo,No
134,5.59,3,24.00,70.36,12.80,0.2450,bajo,No
135,5.63,3,24.00,71.75,12.98,0.2450,bajo,No
136,5.67,2,30.00,72.49,0.08,0.2690,bajo,No
137,5.71,2,30.00,74.30,0.02,0.2680,bajo,No
138,5.75,2,30.00,74.26,0.01,0.2680,bajo,No
139,5.80,2,30.00,74.45,0.01,0.2680,bajo,No
140,5.84,2,30.00,73.34,0.02,0.2680,bajo,No
141,5.88,2,30.00,71.36,0.03,0.2690,bajo,No
