Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
0,0.00,0,0.00,0.00,0.00,0.4000,medio,No
1,0.03,0,0.00,0.00,0.00,0.4000,medio,No
2,0.07,0,0.00,0.00,0.00,0.4000,medio,No
3,0.10,0,0.00,0.00,0.00,0.4000,medio,No
4,0.13,0,0.00,0.00,0.00,0.4000,medio,No
5,0.17,0,0.00,0.00,0.00,0.4000,medio,No
6,0.20,0,0.00,0.00,0.00,0.4000,medio,No
7,0.23,0,0.00,0.00,0.00,0.4000,medio,No
8,0.27,0,0.00,0.00,0.00,0.4000,medio,No
9,0.30,0,0.00,0.00,0.00,0.4000,medio,No
10,0.33,0,0.00,0.00,0.00,0.4000,medio,No
11,0.37,0,0.00,0.00,0.00,0.4000,medio,No
12,0.40,0,0.00,0.00,0.00,0.4000,medio,No
13,0.43,0,0.00,0.00,0.00,0.4000,medio,No
14,0.47,0,0.00,0.00,0.00,0.4000,medio,No
15,0.50,0,0.00,0.00,0.00,0.4000,medio,No
16,0.53,0,0.00,0.00,0.00,0.4000,medio,No
17,0.57,0,0.00,0.00,0.00,0.4000,medio,No
18,0.60,0,0.00,0.00,0.00,0.4000,medio,No
19,0.63,0,0.00,0.00,0.00,0.4000,medio,No
20,0.67,0,0.00,0.00,0.00,0.4000,medio,No
21,0.70,0,0.00,0.00,0.00,0.4000,medio,No
22,0.73,0,0.00,0.00,0.00,0.4000,medio,No
23,0.77,0,0.00,0.00,0.00,0.4000,medio,No
24,0.80,0,0.00,0.00,0.00,0.4000,medio,No
25,0.83,0,0.00,0.00,0.00,0.4000,medio,No
26,0.87,0,0.00,0.00,0.00,0.4000,medio,No
27,0.90,0,0.00,0.00,0.00,0.4000,medio,No
28,0.93,0,0.00,0.00,0.00,0.4000,medio,No
29,0.97,0,0.00,0.00,0.00,0.4000,medio,No
30,1.00,0,0.00,0.00,0.00,0.4000,medio,No
31,1.03,0,0.00,0.00,0.00,0.4000,medio,No
32,1.07,0,0.00,0.00,0.00,0.4000,medio,No
33,1.10,0,0.00,0.00,0.00,0.4000,medio,No
34,1.13,0,0.00,0.00,0.00,0.4000,medio,No
35,1.17,0,0.00,0.00,0.00,0.4000,medio,No
36,1.20,0,0.00,0.00,0.00,0.4000,medio,No
37,1.23,0,0.00,0.00,0.00,0.4000,medio,No
38,1.27,0,0.00,0.00,0.00,0.4000,medio,No
39,1.30,0,0.00,0.00,0.00,0.4000,medio,No
40,1.33,0,0.00,0.00,0.00,0.4000,medio,No
41,1.37,0,0.00,0.00,0.00,0.4000,medio,No
42,1.40,0,0.00,0.00,0.00,0.4000,medio,No
43,1.43,0,0.00,0.00,0.00,0.4000,medio,No
44,1.47,0,0.00,0.00,0.00,0.4000,medio,No
45,1.50,0,0.00,0.00,0.00,0.4000,medio,No
46,1.53,0,0.00,0.00,0.00,0.4000,medio,No
47,1.57,0,0.00,0.00,0.00,0.4000,medio,No
48,1.60,0,0.00,0.00,0.00,0.4000,medio,No
49,1.63,0,0.00,0.00,0.00,0.4000,medio,No
50,1.67,0,0.00,0.00,0.00,0.4000,medio,No
51,1.70,0,0.00,0.00,0.00,0.4000,medio,No
52,1.73,0,0.00,0.00,0.00,0.4000,medio,No
53,1.77,0,0.00,0.00,0.00,0.4000,medio,No
54,1.80,0,0.00,0.00,0.00,0.4000,medio,No
55,1.83,0,0.00,0.00,0.00,0.4000,medio,No
56,1.87,0,0.00,0.00,0.00,0.4000,medio,No
57,1.90,0,0.00,0.00,0.00,0.4000,medio,No
58,1.93,0,0.00,0.00,0.00,0.4000,medio,No
59,1.97,0,0.00,0.00,0.00,0.4000,medio,No
60,2.00,0,0.00,0.00,0.00,0.4000,medio,No
61,2.03,0,0.00,0.00,0.00,0.4000,medio,No
62,2.07,0,0.00,0.00,0.00,0.4000,medio,No
63,2.10,0,0.00,0.00,0.00,0.4000,medio,No
64,2.13,0,0.00,0.00,0.00,0.4000,medio,No
65,2.17,0,0.00,0.00,0.00,0.4000,medio,No
66,2.20,0,0.00,0.00,0.00,0.4000,medio,No
67,2.23,0,0.00,0.00,0.00,0.4000,medio,No
68,2.27,0,0.00,0.00,0.00,0.4000,medio,No
69,2.30,0,0.00,0.00,0.00,0.4000,medio,No
70,2.33,0,0.00,0.00,0.00,0.4000,medio,No
71,2.37,0,0.00,0.00,0.00,0.4000,medio,No
72,2.40,0,0.00,0.00,0.00,0.4000,medio,No
73,2.43,0,0.00,0.00,0.00,0.4000,medio,No
74,2.47,0,0.00,0.00,0.00,0.4000,medio,No
75,2.50,0,0.00,0.00,0.00,0.4000,medio,No
76,2.53,0,0.00,0.00,0.00,0.4000,medio,No
77,2.57,0,0.00,0.00,0.00,0.4000,medio,No
78,2.60,0,0.00,0.00,0.00,0.4000,medio,No
79,2.63,0,0.00,0.00,0.00,0.4000,medio,No
